"Emails saved", "Emails sauvegardés"
"Phone", "Téléphone"
"The mail has been deleted", "Le message a été supprimé"
"Please select mail(s)", "Veuillez choisir des messages"
"Total of %d record(s) were successfully deleted", "%d enregistrement(s) ont été supprimés avec succès"
"Wrong mail ID specified.", "L'ID du message n'existe pas."
"Automatic Response", "Réponse automatique"
"Automatic Response Comment", "Réponse automatique commentaire"
"Reply to %s", "Répondre à %s"
"Email Template Comment", "Gabarit du mail de commentaire"
"No answer", "Aucune réponse"
